ID,RAM,HDD,SSD1,SSD2,OS,CHIPSET,SCREEN SIZE,RESOLUTION,GRAPHICS CARD,GPU MEMORY,PRICE
IdeaPad 3 14i,8,0,512.00,0.00,Windows-Pro,Intel-i5-10-G4,14,FHD,Integrated,0,65556
IdeaPad 3 14i,12,0,512.00,0.00,Windows-Pro,Intel-i7-10-G7,14,FHD,Integrated,0,75156
IdeaPad 3 14i,4,1024,0.00,0.00,Windows-Home,Intel-i3-10-G1,14,HD,Integrated,0,37316
IdeaPad 3 14i,4,1024,0.00,0.00,Windows-Home,Intel-i5-10-G1,14,HD,Integrated,0,48276
IdeaPad 3 14i,4,1024,0.00,0.00,Windows-Home,Intel-i5-10-G4,14,HD,Integrated,0,49076
IdeaPad 3 14i,8,1024,0.00,0.00,Windows-Home,Intel-i7-10-G7,14,HD,Integrated,0,61076
IdeaPad 3 14i,4,1024,0.00,0.00,Windows-Pro,Intel-i3-10-G1,14,HD,Integrated,0,46916
IdeaPad 3 14i,4,1024,0.00,0.00,Windows-Pro,Intel-i5-10-G1,14,HD,Integrated,0,57876
IdeaPad 3 14i,4,1024,0.00,0.00,Windows-Pro,Intel-i5-10-G4,14,HD,Integrated,0,58676
IdeaPad 3 14i,8,1024,0.00,0.00,Windows-Pro,Intel-i7-10-G7,14,HD,Integrated,0,68276
IdeaPad 3 14i,8,1024,0.00,0.00,Windows-Home,Intel-i3-10-G1,14,HD,Integrated,0,39156
IdeaPad 3 14i,8,1024,0.00,0.00,Windows-Home,Intel-i5-10-G1,14,HD,Integrated,0,50116
IdeaPad 3 14i,8,1024,0.00,0.00,Windows-Home,Intel-i5-10-G4,14,HD,Integrated,0,50916
IdeaPad 3 14i,12,1024,0.00,0.00,Windows-Home,Intel-i7-10-G7,14,HD,Integrated,0,61076
IdeaPad 3 14i,8,1024,0.00,0.00,Windows-Pro,Intel-i3-10-G1,14,HD,Integrated,0,46916
IdeaPad 3 14i,8,1024,0.00,0.00,Windows-Pro,Intel-i5-10-G1,14,HD,Integrated,0,57876
IdeaPad 3 14i,8,1024,0.00,0.00,Windows-Pro,Intel-i5-10-G4,14,HD,Integrated,0,58676
IdeaPad 3 14i,12,1024,0.00,0.00,Windows-Pro,Intel-i7-10-G7,14,HD,Integrated,0,68276
IdeaPad 3 14i,4,1024,0.00,0.00,Windows-Home,Intel-i3-10-G1,14,FHD,Integrated,0,38876
IdeaPad 3 14i,4,1024,0.00,0.00,Windows-Home,Intel-i5-10-G1,14,FHD,Integrated,0,49836
IdeaPad 3 14i,4,1024,0.00,0.00,Windows-Home,Intel-i5-10-G4,14,FHD,Integrated,0,50636
IdeaPad 3 14i,8,1024,0.00,0.00,Windows-Home,Intel-i7-10-G7,14,FHD,Integrated,0,62636
IdeaPad 3 14i,4,1024,0.00,0.00,Windows-Pro,Intel-i3-10-G1,14,FHD,Integrated,0,48476
IdeaPad 3 14i,4,1024,0.00,0.00,Windows-Pro,Intel-i5-10-G1,14,FHD,Integrated,0,59436
IdeaPad 3 14i,4,1024,0.00,0.00,Windows-Pro,Intel-i5-10-G4,14,FHD,Integrated,0,60236
IdeaPad 3 14i,8,1024,0.00,0.00,Windows-Pro,Intel-i7-10-G7,14,FHD,Integrated,0,69836
IdeaPad 3 14i,8,1024,0.00,0.00,Windows-Home,Intel-i3-10-G1,14,FHD,Integrated,0,40716
IdeaPad 3 14i,8,1024,0.00,0.00,Windows-Home,Intel-i5-10-G1,14,FHD,Integrated,0,51676
IdeaPad 3 14i,8,1024,0.00,0.00,Windows-Home,Intel-i5-10-G4,14,FHD,Integrated,0,52476
IdeaPad 3 14i,12,1024,0.00,0.00,Windows-Home,Intel-i7-10-G7,14,FHD,Integrated,0,62636
IdeaPad 3 14i,8,1024,0.00,0.00,Windows-Pro,Intel-i3-10-G1,14,FHD,Integrated,0,48476
IdeaPad 3 14i,8,1024,0.00,0.00,Windows-Pro,Intel-i5-10-G1,14,FHD,Integrated,0,59436
IdeaPad 3 14i,8,1024,0.00,0.00,Windows-Pro,Intel-i5-10-G4,14,FHD,Integrated,0,60236
IdeaPad 3 14i,12,1024,0.00,0.00,Windows-Pro,Intel-i7-10-G7,14,FHD,Integrated,0,69836
IdeaPad 3 14i,4,1024,128.00,0.00,Windows-Home,Intel-i3-10-G1,14,HD,Integrated,0,41316
IdeaPad 3 14i,4,1024,128.00,0.00,Windows-Home,Intel-i5-10-G1,14,HD,Integrated,0,52276
IdeaPad 3 14i,4,1024,128.00,0.00,Windows-Home,Intel-i5-10-G4,14,HD,Integrated,0,53076
